"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)"
0,31160,64480,97000,129360,156760,176600,185320,199940,199480,207520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,43360,89000,134280,177860,214640,240060,254960,261840,270980,273500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,44520,89340,134180,176920,211940,239580,253040,263200,267760,268980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,44380,89280,133880,177560,213600,236400,250640,261060,270800,272660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,44620,89900,135720,177900,214500,239660,254920,257400,268940,272900,,,44973.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,44660,90620,132460,176540,213760,239900,253820,264260,270560,271900,,,89908.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,44580,89280,133060,175400,213760,240100,257600,262420,269540,272960,,,134671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,44800,88740,132860,177140,212040,240860,254620,261520,269540,274040,,,177278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,45420,89720,134540,177000,214880,242520,249700,255820,265960,270660,,,212022.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,45440,90500,136300,177780,217880,240060,249480,257980,267940,264940,,,236772.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,45240,89920,134680,178300,214720,239260,247160,256620,267300,268880,,,236606.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,45480,89540,135640,179360,215140,240800,248920,256740,268280,267980,,,239597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,45780,91560,135860,181020,214220,241300,242740,250420,261920,267920,,,242455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,46000,91080,136780,179000,213880,240760,242600,253780,262020,264360,,,240265.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,45080,90860,136480,179560,214000,238700,245760,250640,263140,264680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,44800,91820,135200,177760,217100,240980,243740,251620,261720,268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,45720,91700,136940,179320,214340,239680,237020,246400,253940,262160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,45140,91240,135600,177460,211740,238100,237800,244780,256020,262160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,45260,89940,133220,179300,215940,238300,238240,243140,257700,258820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,44760,91180,135340,178740,215580,239560,237380,244640,255220,261900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46220,89920,135140,177120,216900,236360,228800,239080,253120,256140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,44460,88560,135140,179060,214400,237840,227820,236860,252140,257180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,45200,91300,134280,177140,212720,237560,229060,238700,252300,256200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15,43260,90440,135660,178520,215500,238680,228920,237100,250900,255140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,44960,91780,133980,181220,212060,237660,231840,230260,244740,251400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,45020,90860,138640,178700,210960,237100,228880,229400,246580,250520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,46320,90340,134760,177360,213840,236380,228800,229820,243480,250160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35,45120,90200,133940,177620,212340,238160,230100,230020,245660,253600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,44280,89900,137280,177080,217180,236160,230320,232800,238100,245700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.45,45400,89860,134320,178820,215600,237300,231660,231900,238660,242720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,43160,89420,132960,177360,213500,239720,231860,232480,237200,244940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55,44720,90040,136240,176880,210680,236440,230860,231780,237920,246620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,44940,89960,137260,176220,214280,234160,232540,231280,228680,241160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,44840,88740,135460,179560,213460,235300,232200,230960,229580,238540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,44140,89600,137320,175920,214880,235480,233240,231880,229040,239980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,44600,90540,133220,180220,214740,234200,233180,234140,230360,240280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,46340,89240,135460,178640,210620,236260,235020,233340,231440,234060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.85,46400,88500,134400,177760,214280,232980,235400,233600,231420,234780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,43860,89940,132880,178800,211820,233160,234940,234180,230420,232340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.95,41820,88920,134380,179700,216000,235400,233920,234300,231280,234220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45260,89560,139480,177920,214200,237640,234980,235220,232020,226360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05,45000,91680,136360,176300,213460,236900,235340,237160,233700,225280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,44960,89780,133200,178240,212800,237700,234920,233980,233320,224720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.15,45160,89640,135480,175940,212120,234000,235260,235340,232540,224180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,45560,89120,134180,178240,213240,236600,237360,234000,232940,224800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,45980,90640,132980,176740,210140,236700,236580,237160,234840,222560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,43780,89400,137140,179980,214220,237580,236520,237280,234860,224080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35,45420,90200,135440,182040,210480,238500,237000,234880,232900,224140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,46340,86700,135120,174900,213880,231700,236400,236620,234360,225420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45,46400,90660,134840,173620,213280,233380,238320,240040,232960,223800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,45540,90700,135460,182200,213440,235420,235720,236840,234320,225020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,44640,90840,134500,174640,211200,232120,237080,238600,235220,225860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,45320,90500,132740,173580,213500,232960,236780,239000,237040,227280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65,46160,91380,135300,180340,210820,233160,235520,238780,237340,227040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,45980,89940,131820,177740,211700,235260,236400,239180,234120,227100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.75,44180,90960,134580,179260,213400,234940,236740,239520,234400,224660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,44960,91600,132820,179180,210640,234840,238660,241060,237100,228440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,45120,88880,136140,178800,211240,237660,238560,239000,238040,228280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,45300,89560,134980,178460,214040,233720,236020,238460,239420,228960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.95,45520,88380,134800,176700,213380,236380,235740,240200,236740,226900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45020,89880,135280,175300,213120,239080,235680,239800,239040,229980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.05,44020,88900,136800,177860,211980,236980,234940,242200,239460,227800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,45140,91740,132380,179960,210220,238260,234200,241220,238700,228640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
