"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Logical","Network.core_node_0.OBS","Node","Stats.Burst","Blocking","Transit"
0,0,0,0,0.002678571,0.023668639,0.053226056,0.107187198,0.138254028,0.192169165,0.223342175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,0,0,0.000222519,0.003370976,0.020405368,0.058390751,0.106174939,0.157741842,0.195471431,0.23465734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0,0,0,0.00371308,0.02149792,0.063722619,0.104704258,0.149511936,0.208788282,0.24464135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0,0,0,0.0026986,0.020673604,0.0665642,0.107920581,0.146821147,0.203377778,0.241922052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0,0,0.000220799,0.006038242,0.023160203,0.055804097,0.104129264,0.153085481,0.184473898,0.209205384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0,0,0.000229043,0.003412387,0.025746371,0.051028807,0.109006734,0.151723479,0.17801941,0.21419377,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,0,0,0,0.005823912,0.029327513,0.053386642,0.097911638,0.158349967,0.189963834,0.21262831,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,0,0,0,0.006074924,0.023947151,0.057045401,0.105257635,0.148233047,0.180320408,0.221794872,,0.00048451601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,0,0,0.000222025,0.006074924,0.027872196,0.063913699,0.104353326,0.148435943,0.165911665,0.187432964,,0.00691042833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,0,0,0.000219587,0.007328448,0.021348013,0.064166764,0.110237871,0.133031139,0.155743879,0.203821079,,0.02875827179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
