"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)"
0,0,0,40,1200,7540,21620,46400,66180,101600,124420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,0,0,40,1220,9500,29040,58640,90840,130960,172760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0,0,20,1300,10100,30540,59060,93400,136480,177440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0,0,60,1120,10500,32600,61460,94760,132640,176260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0,0,20,1640,11340,28360,63420,94440,132920,176860,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0,0,20,1900,9980,28960,62220,90260,133860,171780,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,0,0,100,1340,9340,31680,61720,87700,131580,172340,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,0,0,20,1800,9720,28420,61340,89500,132200,168460,,1565.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,0,0,60,1940,10220,30760,60720,89700,127900,169600,,9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,0,0,20,2120,9620,30700,59760,92420,131040,172200,,30106.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,0,180,2400,10720,29500,59560,93460,129980,172540,,59660.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,0,0,100,1660,9440,29360,59700,93820,129000,175920,,93769.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0,0,40,1640,10440,28800,58780,92940,128380,171900,,131728.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,0,0,40,1500,9520,30180,59100,93440,132840,171220,,173348.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0,0,40,1620,10160,30920,57800,95000,131360,171380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,0,0,20,1860,10460,31320,60640,93700,129900,171840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0,0,20,1500,10880,29080,64200,98260,133440,173840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,0,0,60,1700,9960,29800,61760,92220,131560,172880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0,0,60,2300,11220,29520,64460,91100,133500,169660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,0,0,20,1720,10920,31660,60580,94400,132680,173220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,40,1700,11140,29960,61560,91280,134120,172420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,0,0,140,1960,10640,31040,60360,93620,125220,172660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,0,0,40,1940,10600,29780,62880,95920,129820,171860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15,0,0,20,2020,9520,29380,58820,96020,133160,175060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,0,0,20,1580,10340,28560,60260,94240,129160,174240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,0,0,40,1460,9780,31360,60640,92460,131400,176920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,0,0,40,1860,9760,30580,59860,92780,129980,178680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35,0,0,40,1500,8460,30380,61200,89300,135880,172480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,0,0,20,1820,10480,32140,59280,94720,133200,176600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.45,0,0,80,1420,10240,30080,58140,91180,132520,174980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
