"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Traffic","Sink.Traffic","Received","(packets/sec)"
0,31160,64480,97000,129360,156760,176600,185320,199940,199480,207520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,43360,89000,134280,177860,214640,240060,254960,261840,270980,273500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,44520,89340,134180,176920,211940,239580,253040,263200,267760,268980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,44380,89280,133880,177560,213600,236400,250640,261060,270800,272660,,,44632.9292929293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,44580,87960,133040,175620,211740,240480,250900,264560,271220,271220,,,89471.9191919192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,44840,89160,133840,178000,213780,238640,251900,269720,269740,277760,,,134313.535353535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,44220,88860,134500,178560,212820,236820,253000,270880,272260,278160,,,177525.252525253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,44700,89800,134200,177640,213400,238980,253020,268360,271640,280840,,,214106.868686869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,43640,89140,134580,177740,214520,239020,253800,266860,277800,279280,,,238832.929292929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,44740,88960,133900,177820,214260,237720,255420,268460,273060,277800,,,253823.636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,44320,89160,134100,176440,214220,239260,254800,266540,273680,277160,,,264812.525252525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,44400,89620,134700,178280,215900,238720,255000,265720,276020,273360,,,274863.838383838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,44920,89200,134740,177880,214200,240800,255320,266780,275260,276120,,,274881.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,44820,90000,134360,178460,215480,239980,255640,267080,272100,276940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,44800,89880,134820,178020,214520,238900,256800,264920,270840,277940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,44880,89460,134220,178120,214740,238940,254720,266200,273560,277000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,45000,89660,134900,176860,213960,240380,250560,261720,271840,274600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,45000,89580,134940,177040,214480,239940,252820,267820,272120,276940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,44540,89420,134940,177560,213320,240180,250580,268700,267420,278480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,44840,89660,134980,176840,213880,239320,254300,265700,270680,277340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44720,89500,134960,178360,213720,238740,253420,268760,270140,277300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,44720,88860,134560,177840,214200,239000,253900,267020,279260,277240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,44660,89960,134400,178200,214500,240060,250920,263420,274620,278620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15,44780,89820,134100,177940,215000,240840,254320,263220,271480,273960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,44800,89480,134140,178280,214760,241420,253840,265640,275660,275660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,44600,89580,134380,178540,214920,238620,253960,267640,273740,274120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,44500,89840,134740,178100,213560,238460,254860,267280,275380,271620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35,44840,89620,134320,177680,215600,239680,252220,270460,269080,276980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,44960,90000,134980,178260,214740,237720,256460,265840,272300,272720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.45,44520,90000,134920,178540,214760,240180,257000,267900,271780,273520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,44780,90000,134960,178980,213380,240320,256500,264900,272200,276080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55,44380,90000,134220,178180,214740,238460,254540,263140,273380,266480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,44680,90000,134420,178120,215040,238280,254640,264720,275420,269480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,44560,90000,134960,177620,214020,241140,253220,265060,272020,269220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,44380,90000,135000,177900,214520,239660,254760,264240,268860,272760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,44580,90000,134700,178780,214960,238680,253060,263500,271580,275480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,44560,90000,134740,178800,214540,239760,250980,264240,271520,273980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.85,44860,89660,134980,178140,214800,238780,254280,266040,274780,273980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,45000,89940,134900,178080,216200,239320,256160,263300,271660,276580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.95,44740,89860,134980,176640,215260,238500,254560,266700,271180,276620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,44800,90000,134980,177400,216720,240660,255100,265120,272600,274940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05,44320,90000,134980,177280,215440,241320,258320,268480,271880,274620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,44580,89640,134920,177080,214780,239640,256100,264220,272900,276540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.15,45000,90000,134980,177760,215560,238880,253800,261860,277060,274280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,44960,90000,135000,177220,214220,239400,255960,267960,269720,277720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25,45000,89380,134960,177340,214680,237760,254880,267480,269240,277460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3,44920,89960,134960,176560,215300,238820,252600,266400,273920,276640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35,44820,89520,135000,177640,214640,239040,255860,268120,268480,276220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,44700,88940,134980,177440,215980,237360,251320,271060,270280,278040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45,44680,89680,134980,177220,215820,240960,254340,266640,274080,275040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,44760,89280,134980,178040,215060,237460,255680,265780,271940,274400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.55,44460,89920,134960,178280,215760,239740,254440,266180,273360,276060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,44500,89700,134940,178080,214520,238660,255000,268580,271240,275620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65,44960,89500,134880,178280,214700,239720,253120,266240,271320,278560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,44900,89820,134960,177360,216120,238720,256420,264600,270000,281420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.75,45000,89780,134960,177740,215620,239700,256740,267840,276700,277520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,45000,90000,135000,178060,214060,239780,257860,266440,269040,279640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.85,44780,89860,135000,178260,213220,236400,255960,266780,270480,275120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,45000,90000,134980,178520,214680,239520,253660,266140,271680,276800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.95,44960,90000,134960,178480,214700,238700,256520,262440,275040,275880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45000,89840,134980,177940,216780,240640,252660,266580,274200,275780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.05,45000,90000,134760,176840,213840,237360,256680,265240,271660,276160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
