time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_2-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_3-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_4-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_5-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_6-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_7-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_8-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_9-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,obs_congestion_control-single_node_offerload_0_10-DES-1: Logical Network.core_node.OBS Node Stats.Burst Blocking Transit ,,
0,0,0,0.004221838,0.021577489,0.058132566,0.091240094,0.117873348,0.135155585,0.143742372,0.149509579,,
0.05,0,0,0.003852423,0.026003138,0.067384183,0.094253065,0.114467784,0.134684956,0.14574304,0.149871355,,
0.1,0,0,0.005778634,0.0310566,0.065818789,0.100533511,0.119112495,0.13756574,0.143682363,0.156788175,,0
0.15,0,0,0.002074074,0.02902286,0.061266874,0.095502821,0.112185687,0.128237952,0.140841982,0.151350966,,0.000172776
0.2,0,0.000663423,0.003697678,0.028081651,0.061194168,0.100484464,0.114336447,0.135859451,0.142420493,0.145546964,,0.004844216
0.25,0,0,0.006863623,0.025483402,0.06443203,0.100941902,0.124194675,0.131335191,0.150719607,0.149689485,,0.027650456
0.3,0,0.000221141,0.00415677,0.029507097,0.065662202,0.1015638,0.117378167,0.136613646,0.146146074,0.148756757,,0.063324083
0.35,0,0,0.00436747,0.027599414,0.064854733,0.095502862,0.124147444,0.141290657,0.148666375,0.146684963,,0.094932737
0.4,0,0,0.003160747,0.025867861,0.065070083,0.095854282,0.11710607,0.132596685,0.144052992,0.147712513,,0.10247224
0.45,0,0,0.004856512,0.030650051,0.067040647,0.102918079,0.117733457,0.131672868,0.143044333,0.151014221,,0.106761137
0.5,0,0,0.003241014,0.029201962,0.060278778,0.094769634,0.11853515,0.1246253,0.137843337,0.14248686,,0.114586218
0.55,0,0,0.004617218,0.026389044,0.064384451,0.094831128,0.117927063,0.128043282,0.142909357,0.148543758,,0.120749456
0.6,0,0.000224467,0.005184417,0.02423907,0.062465194,0.091486871,0.114604305,0.130312262,0.134715026,0.143829239,,
0.65,0,0.000446828,0.006072275,0.03069539,0.063166682,0.09717329,0.120248682,0.12960324,0.139662355,0.147404646,,
0.7,0,0.000441989,0.004402054,0.028896575,0.060603248,0.091967404,0.117710667,0.130849614,0.137183849,0.142415306,,
0.75,0,0,0.003696038,0.026996625,0.068464158,0.100537093,0.117032881,0.128306476,0.137705159,0.15190599,,
0.8,0,0,0.004474273,0.02861934,0.059102314,0.095471541,0.109785765,0.129782157,0.144071588,0.141790509,,
0.85,0,0.000446628,0.004726736,0.024420298,0.063055478,0.092494627,0.111867089,0.127116696,0.13624851,0.143096784,,
0.9,0,0,0.004509244,0.022430532,0.066945607,0.102101605,0.119279108,0.12379081,0.139485137,0.146858274,,
0.95,0,0,0.003293413,0.027703307,0.06031863,0.096475881,0.114098205,0.126750914,0.136266332,0.143607706,,
1,0,0,0.002882282,0.024623342,0.06792976,0.099432293,0.106064228,0.119960293,0.133722671,0.143409157,,
1.05,0,0.000225836,0.004606241,0.028201984,0.065373299,0.09764647,0.10810163,0.118033547,0.131482725,0.143147946,,
