time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_2-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_3-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_4-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_5-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_6-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_7-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_8-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_9-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_10-DES-1: Blocked Traffic Sink.Traffic Received (packets/sec) ,,,
0,0,0,440,3700,16280,39180,66440,98500,134840,164700,,,
0.05,0,0,540,6040,23940,50140,85780,126020,171960,202780,,,
0.1,0,0,800,7080,22960,54240,86920,130860,168780,210080,,,
0.15,0,0,280,6680,22220,51740,80720,123120,168620,209340,,,
0.2,0,60,500,6840,22720,54880,85820,127240,169100,211720,,,
0.25,0,0,920,5660,21780,54980,89840,127380,172640,213220,,,0
0.3,0,20,640,6640,22960,51560,87640,128100,168320,213820,,,15.6
0.35,0,0,580,5820,23900,50500,87540,128480,172200,212980,,,720
0.4,0,0,460,6060,23440,51100,86620,118720,159480,201720,,,6653.6
0.45,0,0,660,6900,22960,55320,87780,122240,159440,204060,,,24237.4
0.5,0,0,440,6680,22980,51140,88640,117960,158160,199840,,,53286.2
0.55,0,0,660,5960,23660,49360,86340,118460,159820,200100,,,59052.4
0.6,0,20,800,5760,23620,53620,79140,111900,146000,186660,,,68663
0.65,0,40,880,6780,23500,52460,85640,108160,147340,187220,,,87365
0.7,0,40,600,6680,22340,52160,79980,110940,149700,187080,,,108212.6
0.75,0,0,500,5880,23860,56100,81480,111300,148800,188720,,,
0.8,0,0,620,6720,21360,52720,72840,104200,142060,174140,,,
0.85,0,40,720,5720,23200,51760,74980,102280,139220,177540,,,
0.9,0,0,680,5300,24100,54860,76800,98740,138400,180140,,,
0.95,0,0,460,5960,22200,51720,74960,100200,137360,177800,,,
1,0,0,420,5900,25860,54720,65660,89880,129440,165360,,,
1.05,0,20,680,6580,24780,52540,67500,92160,126960,164740,,,
1.1,0,0,360,5620,24580,52580,66620,94620,127140,166700,,,
1.15,0,0,640,6160,23580,53040,67340,91140,124980,165000,,,
1.2,0,0,1000,6500,24100,51200,59380,86180,118460,155380,,,
1.25,0,0,540,7680,26840,52140,59600,84940,119220,154880,,,
1.3,0,0,420,7260,23380,53380,62340,84440,117040,153000,,,
1.35,0,0,540,7020,21700,54080,61560,86360,118340,155260,,,
1.4,0,80,520,6060,25580,53920,54100,75840,104500,144100,,,
1.45,0,40,840,6040,22680,50080,52940,76180,110180,140860,,,
1.5,0,0,940,6000,25060,54280,54400,77100,107260,145700,,,
1.55,0,0,800,5380,24680,55620,54900,75820,108840,141020,,,
1.6,0,40,460,6120,25580,52380,45180,70740,96820,134440,,,
1.65,0,0,700,6520,21260,51260,47320,68580,97760,132100,,,
1.7,0,0,780,7000,24520,50780,49080,71120,100180,130640,,,
1.75,0,0,840,6180,24460,55940,46520,70680,97460,134680,,,
1.8,0,20,720,7180,22300,50020,48960,63500,92480,119920,,,
1.85,0,0,780,7940,23140,54200,49100,63480,90340,122940,,,
1.9,0,0,480,5700,25680,51820,49080,62980,94080,123600,,,
1.95,0,0,420,5740,23680,53460,53700,61460,91580,126180,,,
2,0,0,820,7480,23740,56060,51400,52720,85320,109980,,,
2.05,0,0,840,7280,23260,55160,49020,55540,82480,112500,,,
2.1,0,60,580,6580,23280,50960,49860,54900,85100,113140,,,
2.15,0,0,1040,6220,25600,50200,52280,57140,84000,113820,,,
2.2,0,60,720,5700,25500,50640,51260,49380,74840,103180,,,
2.25,0,0,620,6860,23540,51340,54420,48000,75220,102760,,,
2.3,0,0,780,5900,24260,53820,51500,49920,77880,102740,,,
2.35,0,20,600,7000,24180,53180,50180,50020,77720,104060,,,
2.4,0,0,540,6140,22940,50520,51280,46400,68680,92580,,,
2.45,0,20,640,6340,23260,55200,50020,43880,69480,95740,,,
2.5,0,60,740,7400,23200,55100,51840,42920,68220,95300,,,
2.55,0,20,900,7320,24960,52220,53520,44360,68900,95760,,,
2.6,0,0,520,6220,23520,60700,54200,43040,59420,87320,,,
2.65,0,0,880,6820,24420,55240,50980,43140,61380,88640,,,
2.7,0,0,920,7840,24240,54360,55360,45680,60400,84760,,,
2.75,0,0,660,7340,23600,57200,51020,44960,59220,87980,,,
2.8,0,0,680,6760,24060,51840,52720,45860,55640,79460,,,
2.85,0,40,780,6580,23680,53940,54040,47760,52740,78060,,,
2.9,0,80,980,4760,22820,51720,56580,43980,56020,79120,,,
2.95,0,20,880,7540,23380,51660,50540,45820,53460,79660,,,
3,0,0,840,6520,24600,52160,57300,46560,45880,73360,,,
3.05,0,40,1100,7640,24040,51020,55180,47180,49480,71600,,,
3.1,0,20,720,7260,24620,52760,55560,45400,47920,73920,,,
3.15,0,60,560,7900,25660,56180,53840,44880,48280,70700,,,
3.2,0,0,1060,7280,24360,53740,46800,47060,47780,63840,,,
3.25,0,20,880,6480,25220,58180,46280,49400,48680,67300,,,
3.3,0,0,720,8020,22480,53460,47260,48280,51240,62660,,,
