time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_2-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_3-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_4-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_5-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_6-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_7-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_8-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_9-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_10-DES-1: Traffic Sink.Traffic Received (packets/sec) ,,,
0,33260,67960,101080,130860,153040,165240,174220,178220,177780,180900,,,
0.05,44900,89320,134460,173560,199720,217520,225160,229720,232680,238340,,,
0.1,45000,89860,134240,172460,200800,215840,226360,229620,234300,234420,,,
0.15,45000,90000,134680,173140,199080,218080,229440,231580,235300,238140,,,
0.2,45220,90380,134700,172360,202160,214960,229280,232120,235140,238880,,,
0.25,45220,90460,133220,174380,200980,216080,225880,230620,234940,238560,,,
0.3,45220,90420,134060,173800,200760,215600,227680,232000,236580,235660,,,
0.35,45240,90460,132480,172460,199780,221340,229000,232040,233740,236520,,,44885.4
0.4,45380,88600,132160,174120,201580,219360,230700,231940,235320,236080,,,89896
0.45,45120,89580,135280,172760,202740,216940,227520,228900,235120,235180,,,133945
0.5,44880,88440,135460,173960,203660,221120,227240,233960,237300,238400,,,172839.6
0.55,45200,87220,133560,174960,201580,220200,230640,232120,234600,239160,,,199829.4
0.6,45460,89080,134300,176360,201980,217320,228100,228520,237280,239300,,,215979
0.65,44840,89360,134300,173960,201880,220800,224300,231460,235440,237180,,,219798.2
0.7,45660,90460,135580,173760,202420,218180,228300,230180,233000,238860,,,220755
0.75,45460,89960,134840,173160,202460,214020,226600,228920,234500,237160,,,224183.2
0.8,45000,90900,133480,173540,202820,218000,226700,226240,229580,238480,,,226517.2
0.85,44980,89480,134700,174240,200200,219640,224620,227700,232120,235080,,,
0.9,45400,87360,132480,175320,200260,216820,223080,232140,233200,232540,,,
0.95,45180,89160,133320,173980,204500,216820,223760,228920,233940,234460,,,
1,45200,91520,131300,173400,201600,215920,224560,230780,231660,235180,,,
1.05,46120,88520,133940,174400,203380,216460,223300,228260,232400,235840,,,
1.1,45600,89640,134920,171340,199840,217460,223680,225680,233620,233600,,,
1.15,45240,88820,133940,172700,202700,219300,222480,229240,235580,235340,,,
1.2,44420,91440,132640,174320,200540,220400,223100,224640,231620,232920,,,
1.25,44160,90840,132840,175440,198320,220620,221400,225960,229740,233800,,,
1.3,44360,88880,134640,172140,198060,216740,219300,225960,232640,235440,,,
1.35,44800,90640,133260,172760,202340,216820,220480,224520,230920,232620,,,
1.4,45440,91560,135320,173460,201320,216440,218800,225720,234480,232960,,,
1.45,44100,89460,134380,176960,202800,214140,220680,224960,229280,235920,,,
1.5,43620,89500,136000,172600,204500,215820,219020,224460,231500,230980,,,
1.55,44920,89180,131060,170400,202320,217380,218600,225240,230240,235600,,,
1.6,44880,89580,136860,171100,198260,219180,219300,222160,231960,231360,,,
1.65,45420,90340,136140,171380,200800,216840,217900,224160,231680,233020,,,
1.7,46780,90840,135180,174620,201160,220880,216540,220380,227980,234600,,,
1.75,44740,90460,134400,175420,200020,218940,217680,221680,231240,231400,,,
1.8,45180,88740,134900,174780,201160,219700,217380,220900,227280,233340,,,
1.85,43400,90380,135880,176460,201140,219040,217180,219460,228260,232280,,,
1.9,44940,92240,133260,170180,199720,217800,217160,220920,225180,230880,,,
1.95,44200,93580,133340,173600,197400,217960,212400,221720,226780,228320,,,
2,45840,89260,135140,172420,199980,218500,216640,222260,224900,233460,,,
2.05,44900,89400,134240,173180,203120,215360,219160,219640,226560,231460,,,
