time (sec),obs_congestion_control-single_node_offerload_0_1-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_2-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_3-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_4-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_5-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_6-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_7-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_8-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_9-DES-1: Traffic Sink.Traffic Received (packets/sec) ,obs_congestion_control-single_node_offerload_0_10-DES-1: Traffic Sink.Traffic Received (packets/sec) ,,,
0,33260,67960,101080,130860,153040,165240,174220,178220,177780,180900,,,
0.05,44900,89320,134460,173560,199720,217520,225160,229720,232680,238340,,,
0.1,45000,89860,134240,172460,200800,215840,226360,229620,234300,234420,,,
0.15,45000,90000,134680,173140,199080,218080,229440,231580,235300,238140,,,
0.2,44720,90000,134580,170920,202860,218740,224120,230920,234480,234300,,,
0.25,44900,89900,134340,173840,199860,217280,225480,230620,234580,238340,,,
0.3,44920,89980,133460,171540,199140,217220,226540,229380,235680,239120,,,44715.2
0.35,44760,89980,133640,171460,199160,220280,228180,234680,235380,239300,,,89717
0.4,44680,89580,134300,174060,202240,218420,227040,232360,231560,238520,,,133906
0.45,44840,89600,134200,174520,203760,217800,226400,230780,238280,239480,,,173394.4
0.5,45000,89280,134480,171880,203020,218740,226320,233420,238120,239680,,,201326.4
0.55,44900,90000,134120,173000,200880,217060,227280,232280,239440,237860,,,217672.8
0.6,45000,89940,134400,173480,200040,218820,230520,233000,235820,237740,,,226403.6
0.65,45000,90000,134300,173840,203620,219920,226580,234340,235360,235240,,,231718.4
0.7,45000,89980,133640,174160,201840,216040,227320,234400,235200,239660,,,234863
0.75,45000,89780,133960,174680,202260,217860,226900,231300,235440,236100,,,236831.8
0.8,44980,89900,133560,173540,201040,220300,228700,229140,235120,236180,,,
0.85,44440,90000,133360,174140,203160,220120,225580,231940,236080,238020,,,
0.9,45000,89080,133980,173980,202960,219440,224920,234800,233920,233280,,,
0.95,44900,89200,134500,174300,202600,221020,224800,231820,235100,237840,,,
1,45000,89980,134220,175000,202580,218040,227840,233020,234580,237100,,,
1.05,45000,89740,134400,173520,202080,216480,230120,230220,237060,236260,,,
1.1,44360,89980,133220,173400,201780,219220,225780,231220,235200,239940,,,
1.15,44400,89300,133440,174280,203100,219980,227280,232440,233320,239380,,,
1.2,44600,89980,133760,174360,199240,219380,221320,230680,235200,237920,,,
1.25,45000,89960,133060,174760,202060,216940,225220,231040,237620,235340,,,
1.3,45000,90000,134480,174020,200560,218020,225800,232280,236840,235080,,,
1.35,45000,90000,134280,173100,202580,216960,228540,232620,234160,239260,,,
1.4,44540,90000,134220,174000,203400,219720,230080,235940,235520,236540,,,
1.45,44640,90000,134240,173780,202960,216560,225680,231580,236360,239620,,,
1.5,43780,89980,134700,173040,201540,218740,228320,234580,237180,236600,,,
1.55,44620,90000,134260,173600,203660,218120,227060,228280,236880,236620,,,
1.6,44360,90000,134640,173040,201520,219700,225920,232000,234760,235800,,,
1.65,44840,90000,134460,174480,200360,217740,226640,232060,235380,238040,,,
1.7,45000,90000,134420,174080,200800,219900,226220,232200,232240,237680,,,
1.75,45000,90000,134360,174640,203240,219460,229200,234180,235200,238380,,,
1.8,44740,90000,134020,174480,202560,217400,223820,229000,237560,240360,,,
1.85,44680,90000,134520,173760,203780,219060,226360,231800,233780,237100,,,
1.9,44200,89980,134440,173360,201820,217700,226820,232400,232560,234020,,,
1.95,44960,90000,134220,174360,201020,218000,227960,234940,234900,237580,,,
2,43860,90000,134200,174240,202140,217480,229820,232720,235300,232520,,,
2.05,44860,90000,134360,173680,202300,213080,226700,231020,232960,236460,,,
